countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
ANGOLA,0.0,,,,0.0,,,,,,,0.0,0.01,0.03,,,,,0.0,,,,,,,
SOUTH SUDAN,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
TURKMENISTAN,,,,0.0,0.0,,,,,,,,,,,,,,0.05,0.08,0.22,0.01,,,,
UKRAINE,,,,0.0,0.04,0.02,0.0,,,0.0,,,,,,0.0,,0.14,0.01,0.34,0.99,3.57,0.92,,,
VIETNAM SOC REP,,,,0.02,0.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,
YEMEN REPUBLC,,,,,,,0.0,,0.0,,0.01,0.03,0.0,,,,,,0.0,,0.03,0.07,0.05,,,
ALGERIA,,,,,0.06,0.08,,,,,,,,,,,,,,0.0,,,,,,
BAHAMAS,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
BENIN,,,,,,,,,,,,,,,0.03,,,,,,,,,,,
BOLIVIA,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
BRUNEI,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,
CROATIA,,,,,0.0,,,0.0,,,,,,,,,,,0.12,,,,,,,
GUINEA,,,,,0.0,0.0,,0.01,0.0,0.0,,0.0,0.0,,,,0.0,,,,,,,,,
SERBIA,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,
SLOVENIA,,,,,0.0,,,,,,,,,,,,,,0.02,0.23,,,,,,
TUNISIA,,,,,0.02,,,,,,,,,,,,,,,,0.04,,,,,
COSTA RICA,,,,,,0.0,,,,0.04,,,,,,0.0,0.0,,0.01,,,,,,,
GUYANA,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
MONACO,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
SIERRA LEONE,,,,,,0.0,,,0.0,,0.0,0.0,,,,,0.02,,,,,,,,,
SOUTH AFRICA,,,,,0.0,0.01,,0.01,0.01,0.14,0.26,0.07,0.28,0.08,0.73,0.08,0.2,0.76,0.63,1.43,0.49,0.1,0.14,,,
EQUTL GUINEA,,,,,,,0.04,0.22,0.01,0.0,,,,,,,,,,,,,,,,
PERU,,,,0.0,0.02,,,0.0,0.0,,,,,0.0,0.0,,,,0.03,,,,,,,
NETHERLANDANTIL,,,,,0.0,,,,,,,,,,,,,0.03,,,0.02,0.04,0.26,,,
LIBERIA,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,0.01,,,,,
MYANMAR,,,0.0,0.0,,,,0.01,,,,,,,,,,,,,0.03,,,,,
PARAGUAY,,,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
RUSSIA,,,0.05,0.0,0.11,0.05,0.24,0.03,0.04,0.01,,0.0,0.02,0.05,,0.23,,0.2,2.37,4.11,36.07,6.83,12.36,0.22,,0.1
RWANDA,,,0.0,0.0,,,,0.0,,,,,,,,,0.04,,,,,,,,,
SOMALIA,,,,,,0.0,,0.01,,,,,,,,,,,,,,,,,,
SUDAN,,,0.02,,,0.11,0.0,0.05,0.0,0.0,0.0,0.21,0.07,0.54,0.31,,,,,,0.01,0.01,0.05,,,
TRINIDAD,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,
ZIMBABWE,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,,,,0.02,0.08,0.01,0.0,,0.0,,0.0,,,,,,0.0,0.0,0.03,0.0,,,,,,
COLOMBIA,,,,0.01,0.05,0.02,,,,,,,,,,,0.0,,,,,,,,,
DJIBOUTI,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.04,,,,0.0,,,0.04,,,0.0,,,
GABON,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
GEORGIA,,,,0.0,,0.47,,,,,,,0.0,,,0.0,,,,0.01,,,,,,
INDONESIA,,,,0.0,0.01,0.01,,0.0,0.0,0.0,0.0,,0.0,,,,,0.06,0.01,,,,,,,
COTE D' IVOIRE,,,,,,0.02,,,,,,,,,,,,,,,,,,,,
LIBYA,,,,0.04,,,,,,0.0,,,,,,,,,,,,,,,,
MALAWI,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,
MONGOLIA,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,
NIGER,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
JORDAN,,,0.0,,,,,,0.0,0.0,0.01,0.0,,,,,0.03,0.0,,,,0.05,0.25,,,0.03
GAMBIA,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
NAMIBIA,,,,,,,0.0,,,,,,,,,0.02,,,,0.0,,,,,,
JAMAICA,,,,,,,,,,,,,,0.01,,0.04,0.01,0.14,0.0,,,,3.02,,,
BR VIRGN IS,,,,,,,,,,,,,,,,,0.04,,,,,,,,,
PAKISTAN IR,,,,,,,,,,,,,,,,,0.04,,,,0.03,,,,,
AMERI SAMOA,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
AZERBAIJAN,,,,,,,,,,,,,,,,,,0.35,0.08,0.12,0.0,0.86,0.14,,,
ERITREA,,,,,,,,,,,,,,,,,,0.01,,,,,,,,
IRAN,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
PUERTO RICO,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
TAJIKISTAN,,,,,,,,,,,,,,,,,,0.01,0.08,0.05,,,,,,
COCOS IS,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
GIBRALTAR,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
GUADELOUPE,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
TONGA,,,,,,,,,,,,,,,,,,,0.02,,,,,,,
EL SALVADOR,,,,,,,,,,,,,,,,,,,,0.01,,,,,,
ST HELENA,,,,,,,,,,,,,,,,,,,,0.04,,,,,,
NEW CALEDONIA,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
CANARY IS,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,,,
HAITI,,,,,,,,,,,,,,,,,,,,,,,0.12,,,
MAURITANIA,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
ICELAND,,,,,,,,,,,,,,0.0,,,,0.01,,0.15,0.14,,,,,
LATVIA,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
BURUNDI,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
CHAD,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
COMOROS,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,
IRAQ,,,,,,,,,,,,,,,,,,,,,,,,,,
KOREA DP RP,,,,,,,,,,,,,,,,,0.0,0.05,0.01,0.01,,,,,,
ST LUCIA,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,
DOMINIC REP,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
HONDURAS,,,,,,,,,,,,,,,,,,,,,,,,,,
SEYCHELLES,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,0.0,
SWAZILAND,,,,,,,,,0.0,,,,,,,,0.01,,,,,,,,,
MOROCCO,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,
MONTENEGRO,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTSWANA,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
